iter	MultiClass
0	0.6844042602
1	0.6761719424
2	0.6669428933
3	0.6581669038
4	0.6498420869
5	0.6428799846
6	0.635256111
7	0.6281653114
8	0.6211261678
9	0.615932548
10	0.6105858304
11	0.604357376
12	0.5989779089
13	0.5936740382
14	0.5882698072
15	0.5832957551
16	0.5787746963
17	0.574700958
18	0.5704215318
19	0.5663217701
20	0.5627803525
21	0.5588065303
22	0.5553629195
23	0.5520672632
24	0.5492953601
25	0.5460827922
26	0.5428976503
27	0.5400681566
28	0.5375348139
29	0.5349088573
30	0.5323501423
31	0.5298747199
32	0.5275138601
33	0.525519196
34	0.5234760396
35	0.5213208049
36	0.5193709229
37	0.5176712572
38	0.5159186342
39	0.5143824942
40	0.5126999994
41	0.5114311669
42	0.5098645313
43	0.5084239894
44	0.5067971932
45	0.5054138197
46	0.5040156941
47	0.5027817444
48	0.5021151187
49	0.5008959694
50	0.4996354027
51	0.4985572027
52	0.4975124193
53	0.4963394326
54	0.4953978661
55	0.4945584874
56	0.4936642985
57	0.4928265825
58	0.4919359379
59	0.4911400294
60	0.4902535543
61	0.4893573477
62	0.4886859501
63	0.4878620023
64	0.4871539525
65	0.4865985067
66	0.4858337574
67	0.4851687687
68	0.4843665675
69	0.4837344145
70	0.4833865173
71	0.4827398247
72	0.4820068816
73	0.4813243354
74	0.4808619679
75	0.4803228146
76	0.4798625121
77	0.4792420821
78	0.4787352563
79	0.4783309609
80	0.4777656307
81	0.4772424108
82	0.4767489747
83	0.4761925881
84	0.4759251124
85	0.4754462816
86	0.4750573658
87	0.4745117645
88	0.4742169292
89	0.4737446568
90	0.4733324541
91	0.4729022295
92	0.4725798777
93	0.4722768254
94	0.4718887597
95	0.4714328937
96	0.4710174575
97	0.4706297601
98	0.4701760748
99	0.4699142762
100	0.4696054346
101	0.4693881607
102	0.4690986426
103	0.4687787179
104	0.468457737
105	0.4683400096
106	0.4680193806
107	0.4676839635
108	0.4673970118
109	0.467209043
110	0.4669673024
111	0.4667648535
112	0.4667282855
113	0.4664056876
114	0.4661536394
115	0.4659222764
116	0.465732255
117	0.4654464783
118	0.4652172696
119	0.4649312776
120	0.4646689921
121	0.4643608222
122	0.4641079182
123	0.4639796415
124	0.4637207372
125	0.4634658792
126	0.463159033
127	0.4629336681
128	0.4626852218
129	0.4624433265
130	0.4621692063
131	0.4619682448
132	0.4617587327
133	0.4616126162
134	0.4614780161
135	0.4613500697
136	0.4611350985
137	0.4609152695
