iter	Passed	Remaining
0	343	343094
1	417	208359
2	473	157300
3	561	139928
4	611	121740
5	647	107201
6	674	95628
7	708	87841
8	734	80864
9	765	75827
10	787	70818
11	816	67246
12	855	64948
13	872	61435
14	887	58275
15	903	55542
16	924	53463
17	949	51794
18	975	50350
19	995	48760
20	1010	47101
21	1028	45738
22	1055	44816
23	1072	43632
24	1098	42836
25	1126	42196
26	1152	41519
27	1170	40645
28	1186	39720
29	1201	38856
30	1216	38035
31	1235	37367
32	1252	36716
33	1274	36223
34	1290	35579
35	1306	34976
36	1320	34356
37	1333	33758
38	1349	33250
39	1363	32717
40	1379	32258
41	1393	31788
42	1407	31314
43	1419	30845
44	1435	30460
45	1451	30103
46	1464	29695
47	1496	29689
48	1507	29260
49	1525	28981
50	1540	28671
51	1557	28392
52	1575	28150
53	1593	27915
54	1609	27662
55	1626	27420
56	1644	27200
57	1655	26891
58	1669	26620
59	1683	26378
60	1697	26130
61	1712	25905
62	1724	25642
63	1738	25418
64	1750	25183
65	1762	24938
66	1774	24715
67	1788	24516
68	1802	24318
69	1816	24129
70	1832	23974
71	1845	23790
72	1858	23603
73	1871	23424
74	1884	23246
75	1895	23051
76	1908	22882
77	1924	22749
78	1936	22580
79	1950	22433
80	1964	22286
81	1977	22136
82	1990	21996
83	2002	21839
84	2014	21685
85	2026	21540
86	2041	21423
87	2053	21280
88	2066	21153
89	2079	21025
90	2094	20917
91	2111	20841
92	2127	20746
93	2140	20629
94	2151	20499
95	2163	20377
96	2176	20258
97	2189	20149
98	2200	20029
99	2214	19926
100	2226	19820
101	2238	19711
102	2251	19605
103	2264	19505
104	2277	19408
105	2288	19297
106	2301	19211
107	2315	19120
108	2328	19031
109	2339	18931
110	2352	18842
111	2363	18743
112	2369	18597
113	2382	18516
114	2396	18439
115	2409	18359
116	2421	18275
117	2433	18190
118	2447	18122
119	2463	18063
120	2479	18013
121	2495	17958
122	2509	17893
123	2522	17818
124	2535	17748
125	2547	17672
126	2561	17607
127	2574	17537
128	2587	17469
129	2599	17396
130	2612	17329
131	2625	17264
132	2638	17202
133	2652	17141
134	2665	17080
135	2677	17008
136	2690	16950
137	2703	16889
138	2716	16824
139	2728	16762
140	2740	16696
141	2752	16629
142	2762	16558
143	2775	16499
144	2787	16436
145	2800	16379
146	2811	16317
147	2825	16264
148	2837	16203
149	2849	16149
150	2861	16090
151	2872	16027
152	2884	15969
153	2901	15941
154	2914	15887
155	2927	15839
156	2940	15789
157	3018	16084
158	3064	16210
159	3106	16311
160	3164	16492
161	3215	16633
162	3257	16725
163	3281	16728
164	3321	16806
165	3359	16878
166	3386	16893
167	3407	16873
168	3432	16879
169	3456	16877
170	3483	16888
171	3506	16878
172	3533	16890
173	3552	16864
174	3568	16822
175	3586	16792
176	3602	16752
177	3621	16721
178	3647	16731
179	3669	16715
180	3685	16675
181	3701	16636
182	3721	16613
183	3738	16581
184	3762	16574
185	3777	16532
186	3793	16491
187	3808	16451
188	3823	16407
189	3847	16400
190	3860	16351
191	3874	16304
192	3888	16258
193	3911	16249
194	3926	16207
195	3940	16163
196	3956	16125
197	3979	16119
198	4000	16101
199	4019	16078
200	4034	16037
201	4049	15999
202	4065	15960
203	4080	15923
204	4095	15883
205	4119	15879
206	4134	15837
207	4142	15773
208	4155	15725
209	4169	15686
210	4186	15653
211	4199	15610
212	4212	15564
213	4231	15543
214	4250	15518
215	4271	15502
216	4284	15459
217	4288	15382
218	4301	15340
219	4318	15312
220	4333	15275
221	4349	15244
222	4363	15205
223	4379	15172
224	4390	15124
225	4408	15098
226	4423	15064
227	4438	15027
228	4451	14988
229	4467	14956
230	4496	14969
231	4501	14902
232	4516	14867
233	4531	14834
234	4548	14805
235	4565	14781
236	4582	14751
237	4596	14716
238	4612	14685
239	4629	14661
240	4646	14634
241	4664	14611
242	4676	14569
243	4690	14534
244	4704	14496
245	4722	14474
246	4736	14439
247	4753	14412
248	4765	14372
249	4781	14344
250	4794	14307
251	4816	14296
252	4834	14274
253	4850	14245
254	4865	14215
255	4880	14182
256	4907	14187
257	4926	14169
258	4948	14156
259	4966	14136
260	4983	14110
261	4999	14081
262	5015	14054
263	5029	14022
264	5043	13989
265	5061	13965
266	5075	13933
267	5089	13900
268	5114	13897
269	5126	13860
270	5141	13831
271	5160	13811
272	5186	13812
273	5201	13780
274	5214	13748
275	5233	13729
276	5246	13692
277	5259	13658
278	5274	13631
279	5288	13598
280	5305	13575
281	5323	13553
282	5339	13528
283	5354	13500
284	5373	13480
285	5381	13435
286	5393	13398
287	5412	13381
288	5425	13347
289	5440	13319
290	5455	13291
291	5469	13261
292	5490	13247
293	5504	13218
294	5522	13197
295	5544	13186
296	5558	13155
297	5574	13131
298	5586	13098
299	5600	13066
300	5613	13035
301	5625	13002
302	5637	12969
303	5652	12941
304	5665	12910
305	5679	12880
306	5692	12849
307	5706	12822
308	5721	12795
309	5734	12763
310	5748	12734
311	5763	12709
312	5777	12681
313	5794	12658
314	5806	12626
315	5819	12597
316	5834	12570
317	5856	12560
318	5875	12542
319	5885	12507
320	5902	12484
321	5914	12453
322	5927	12424
323	5942	12398
324	5954	12366
325	5967	12338
326	5982	12312
327	5995	12283
328	6012	12262
329	6026	12234
330	6039	12206
331	6053	12180
332	6073	12166
333	6091	12146
334	6103	12116
335	6118	12091
336	6131	12063
337	6145	12035
338	6161	12014
339	6179	11994
340	6195	11972
341	6212	11953
342	6225	11924
343	6239	11898
344	6259	11883
345	6271	11855
346	6285	11827
347	6298	11799
348	6314	11778
349	6329	11754
350	6345	11732
351	6359	11707
352	6373	11680
353	6386	11653
354	6403	11634
355	6419	11612
356	6432	11585
357	6447	11561
358	6467	11548
359	6481	11523
360	6500	11507
361	6515	11482
362	6529	11457
363	6543	11433
364	6557	11408
365	6574	11388
366	6587	11362
367	6600	11335
368	6613	11308
369	6626	11283
370	6641	11260
371	6655	11236
372	6670	11213
373	6683	11187
374	6696	11160
375	6708	11133
376	6723	11110
377	6744	11097
378	6758	11074
379	6773	11051
380	6787	11027
381	6803	11006
382	6820	10987
383	6836	10967
384	6850	10943
385	6865	10921
386	6879	10897
387	6898	10880
388	6909	10853
389	6926	10834
390	6940	10809
391	6957	10790
392	6971	10767
393	6990	10751
394	7008	10733
395	7023	10712
396	7042	10696
397	7056	10674
398	7071	10651
399	7085	10628
400	7097	10602
401	7111	10578
402	7125	10555
403	7140	10533
404	7156	10513
405	7173	10495
406	7188	10473
407	7202	10450
408	7222	10435
409	7236	10413
410	7251	10392
411	7272	10379
412	7300	10375
413	7319	10359
414	7335	10339
415	7353	10322
416	7369	10303
417	7384	10282
418	7401	10263
419	7420	10247
420	7440	10233
421	7462	10221
422	7489	10215
423	7503	10194
424	7520	10174
425	7537	10155
426	7550	10132
427	7563	10108
428	7580	10089
429	7596	10069
430	7611	10049
431	7627	10028
432	7644	10009
433	7658	9987
434	7676	9970
435	7691	9949
436	7704	9926
437	7716	9901
438	7734	9883
439	7749	9863
440	7766	9844
441	7781	9823
442	7796	9802
443	7810	9780
444	7823	9757
445	7837	9735
446	7848	9710
447	7862	9687
448	7873	9662
449	7887	9640
450	7899	9616
451	7911	9591
452	7923	9567
453	7935	9544
454	7948	9520
455	7967	9505
456	7981	9484
457	7999	9466
458	8014	9446
459	8028	9424
460	8041	9402
461	8055	9380
462	8069	9358
463	8087	9341
464	8100	9319
465	8113	9297
466	8137	9287
467	8151	9266
468	8165	9244
469	8181	9225
470	8194	9203
471	8206	9180
472	8222	9161
473	8236	9139
474	8252	9120
475	8264	9098
476	8278	9077
477	8292	9056
478	8305	9033
479	8319	9012
480	8331	8989
481	8350	8974
482	8364	8953
483	8377	8931
484	8391	8910
485	8404	8889
486	8419	8869
487	8437	8852
488	8451	8832
489	8468	8813
490	8481	8792
491	8492	8769
492	8506	8748
493	8521	8728
494	8538	8711
495	8550	8688
496	8567	8670
497	8579	8647
498	8595	8629
499	8607	8607
500	8621	8587
501	8637	8569
502	8649	8546
503	8666	8528
504	8678	8506
505	8694	8487
506	8705	8465
507	8719	8444
508	8732	8423
509	8745	8402
510	8759	8382
511	8773	8361
512	8786	8341
513	8800	8320
514	8812	8299
515	8827	8279
516	8841	8260
517	8854	8239
518	8867	8218
519	8881	8198
520	8896	8179
521	8912	8161
522	8925	8140
523	8940	8121
524	8954	8101
525	8968	8082
526	8981	8061
527	8999	8044
528	9016	8027
529	9029	8007
530	9042	7986
531	9060	7970
532	9074	7950
533	9086	7929
534	9100	7909
535	9116	7891
536	9128	7870
537	9146	7854
538	9161	7836
539	9176	7816
540	9192	7799
541	9205	7779
542	9222	7762
543	9252	7755
544	9267	7737
545	9281	7717
546	9304	7705
547	9316	7684
548	9328	7663
549	9346	7646
550	9359	7626
551	9372	7607
552	9387	7587
553	9399	7566
554	9413	7547
555	9428	7528
556	9447	7513
557	9462	7495
558	9476	7475
559	9490	7456
560	9503	7436
561	9515	7416
562	9531	7398
563	9544	7378
564	9562	7362
565	9575	7342
566	9589	7323
567	9604	7304
568	9617	7285
569	9630	7264
570	9641	7243
571	9654	7223
572	9670	7206
573	9685	7188
574	9698	7168
575	9715	7151
576	9729	7132
577	9741	7112
578	9753	7092
579	9770	7075
580	9781	7054
581	9797	7036
582	9810	7017
583	9823	6997
584	9836	6977
585	9850	6959
586	9862	6939
587	9877	6920
588	9890	6901
589	9902	6881
590	9916	6862
591	9930	6843
592	9946	6826
593	9960	6807
594	9973	6788
595	9991	6772
596	10007	6755
597	10022	6737
598	10038	6720
599	10055	6703
600	10069	6684
601	10083	6666
602	10096	6647
603	10109	6628
604	10124	6609
605	10136	6590
606	10151	6572
607	10163	6553
608	10176	6533
609	10189	6514
610	10204	6496
611	10220	6479
612	10232	6460
613	10246	6441
614	10266	6426
615	10280	6408
616	10293	6389
617	10311	6373
618	10332	6359
619	10346	6341
620	10359	6322
621	10373	6304
622	10387	6285
623	10404	6269
624	10415	6249
625	10431	6231
626	10443	6213
627	10456	6193
628	10468	6174
629	10480	6155
630	10493	6136
631	10505	6117
632	10519	6099
633	10531	6079
634	10544	6060
635	10556	6041
636	10568	6022
637	10584	6005
638	10596	5986
639	10611	5968
640	10625	5951
641	10638	5932
642	10651	5913
643	10667	5896
644	10681	5879
645	10695	5860
646	10711	5844
647	10726	5826
648	10738	5807
649	10752	5789
650	10770	5773
651	10780	5754
652	10794	5736
653	10807	5717
654	10819	5698
655	10832	5680
656	10844	5661
657	10857	5643
658	10869	5624
659	10881	5605
660	10894	5587
661	10910	5570
662	10921	5551
663	10934	5533
664	10945	5514
665	10958	5495
666	10971	5477
667	10996	5465
668	11017	5451
669	11033	5434
670	11050	5418
671	11063	5399
672	11077	5382
673	11090	5364
674	11103	5346
675	11116	5328
676	11130	5310
677	11145	5293
678	11158	5275
679	11170	5256
680	11182	5238
681	11194	5219
682	11208	5202
683	11223	5184
684	11236	5167
685	11250	5149
686	11267	5133
687	11284	5117
688	11299	5100
689	11312	5082
690	11329	5066
691	11344	5049
692	11358	5031
693	11377	5016
694	11397	5001
695	11412	4984
696	11427	4967
697	11446	4952
698	11458	4934
699	11473	4917
700	11486	4899
701	11501	4882
702	11514	4864
703	11527	4846
704	11545	4830
705	11558	4813
706	11571	4795
707	11586	4778
708	11600	4761
709	11613	4743
710	11625	4725
711	11637	4707
712	11651	4690
713	11664	4672
714	11675	4653
715	11688	4636
716	11702	4619
717	11714	4601
718	11728	4583
719	11740	4565
720	11754	4548
721	11768	4531
722	11782	4514
723	11795	4496
724	11808	4479
725	11821	4461
726	11836	4444
727	11849	4427
728	11861	4409
729	11876	4392
730	11889	4375
731	11902	4357
732	11915	4340
733	11928	4322
734	11940	4305
735	11956	4288
736	11969	4271
737	11982	4253
738	12003	4239
739	12017	4222
740	12029	4204
741	12043	4187
742	12055	4169
743	12067	4152
744	12080	4134
745	12094	4117
746	12109	4101
747	12122	4084
748	12136	4067
749	12148	4049
750	12159	4031
751	12173	4014
752	12187	3997
753	12203	3981
754	12216	3964
755	12229	3947
756	12242	3929
757	12256	3913
758	12270	3896
759	12283	3879
760	12296	3861
761	12309	3844
762	12322	3827
763	12336	3810
764	12350	3794
765	12367	3777
766	12379	3760
767	12398	3745
768	12413	3728
769	12430	3712
770	12446	3696
771	12458	3679
772	12473	3662
773	12489	3646
774	12506	3631
775	12523	3615
776	12537	3598
777	12549	3581
778	12562	3563
779	12573	3546
780	12586	3529
781	12600	3512
782	12615	3496
783	12627	3478
784	12637	3461
785	12650	3444
786	12663	3427
787	12681	3411
788	12694	3394
789	12706	3377
790	12720	3360
791	12732	3343
792	12745	3326
793	12758	3310
794	12770	3293
795	12784	3276
796	12797	3259
797	12812	3243
798	12826	3226
799	12836	3209
800	12850	3192
801	12864	3176
802	12882	3160
803	12896	3143
804	12912	3127
805	12927	3111
806	12940	3094
807	12952	3077
808	12965	3061
809	12979	3044
810	12997	3028
811	13010	3012
812	13022	2995
813	13036	2978
814	13049	2962
815	13062	2945
816	13077	2929
817	13091	2912
818	13104	2896
819	13118	2879
820	13132	2863
821	13145	2846
822	13161	2830
823	13174	2813
824	13187	2797
825	13200	2780
826	13212	2764
827	13225	2747
828	13240	2731
829	13251	2714
830	13264	2697
831	13278	2681
832	13291	2664
833	13304	2648
834	13319	2631
835	13331	2615
836	13343	2598
837	13355	2581
838	13367	2565
839	13380	2548
840	13394	2532
841	13410	2516
842	13423	2500
843	13437	2483
844	13451	2467
845	13464	2450
846	13477	2434
847	13491	2418
848	13504	2401
849	13518	2385
850	13532	2369
851	13544	2352
852	13559	2336
853	13575	2320
854	13591	2304
855	13605	2288
856	13619	2272
857	13633	2256
858	13646	2240
859	13659	2223
860	13673	2207
861	13690	2191
862	13702	2175
863	13716	2159
864	13728	2142
865	13743	2126
866	13760	2110
867	13773	2094
868	13789	2078
869	13803	2062
870	13815	2046
871	13828	2029
872	13839	2013
873	13852	1997
874	13866	1980
875	13878	1964
876	13901	1949
877	13916	1933
878	13929	1917
879	13941	1901
880	13953	1884
881	13971	1869
882	13990	1853
883	14007	1838
884	14024	1822
885	14038	1806
886	14055	1790
887	14068	1774
888	14081	1758
889	14096	1742
890	14113	1726
891	14125	1710
892	14138	1694
893	14151	1677
894	14165	1661
895	14179	1645
896	14192	1629
897	14203	1613
898	14216	1597
899	14231	1581
900	14246	1565
901	14259	1549
902	14272	1533
903	14284	1516
904	14298	1500
905	14311	1484
906	14322	1468
907	14334	1452
908	14348	1436
909	14361	1420
910	14374	1404
911	14393	1388
912	14407	1372
913	14424	1357
914	14436	1341
915	14451	1325
916	14463	1309
917	14478	1293
918	14498	1277
919	14516	1262
920	14531	1246
921	14544	1230
922	14559	1214
923	14572	1198
924	14584	1182
925	14596	1166
926	14610	1150
927	14626	1134
928	14640	1118
929	14657	1103
930	14671	1087
931	14686	1071
932	14698	1055
933	14714	1039
934	14728	1023
935	14742	1008
936	14753	991
937	14767	976
938	14785	960
939	14799	944
940	14813	928
941	14825	912
942	14835	896
943	14851	881
944	14865	865
945	14878	849
946	14891	833
947	14905	817
948	14918	801
949	14934	786
950	14947	770
951	14960	754
952	14973	738
953	14996	723
954	15010	707
955	15026	691
956	15038	675
957	15055	660
958	15072	644
959	15087	628
960	15100	612
961	15112	596
962	15133	581
963	15146	565
964	15160	549
965	15173	534
966	15186	518
967	15198	502
968	15213	486
969	15227	470
970	15241	455
971	15257	439
972	15270	423
973	15282	407
974	15299	392
975	15314	376
976	15327	360
977	15340	345
978	15357	329
979	15375	313
980	15390	298
981	15409	282
982	15425	266
983	15441	251
984	15455	235
985	15468	219
986	15481	203
987	15496	188
988	15510	172
989	15523	156
990	15535	141
991	15550	125
992	15565	109
993	15578	94
994	15591	78
995	15604	62
996	15618	46
997	15633	31
998	15652	15
999	15666	0
